Job 1000           , total_duration: 148.37ms       , real_time_elapsed: 2.330157ms     
Job 999            , total_duration: 114.65ms       , real_time_elapsed: 2.34727ms      
Job 998            , total_duration: 397.929984ms   , real_time_elapsed: 7.51213ms      
Job 996            , total_duration: 478.48ms       , real_time_elapsed: 11.354256ms    
Job 997            , total_duration: 750.36ms       , real_time_elapsed: 18.84054ms     
Job 995            , total_duration: 353.109984ms   , real_time_elapsed: 4.999184ms     
Job 992            , total_duration: 234.06ms       , real_time_elapsed: 9.138163ms     
Job 986            , total_duration: 35.459ms       , real_time_elapsed: 1.24826ms      
Job 987            , total_duration: 364ms          , real_time_elapsed: 24.954875ms    
Job 993            , total_duration: 1.062499968s   , real_time_elapsed: 60.417352ms    
Job 983            , total_duration: 1.1682ms       , real_time_elapsed: 1.202495ms     
Job 989            , total_duration: 665.470016ms   , real_time_elapsed: 51.689283ms    
Job 980            , total_duration: 126.93ms       , real_time_elapsed: 4.66552ms      
Job 985            , total_duration: 353.069984ms   , real_time_elapsed: 26.286051ms    
Job 981            , total_duration: 377.08ms       , real_time_elapsed: 27.626134ms    
Job 994            , total_duration: 1.958600064s   , real_time_elapsed: 102.48301ms    
Job 984            , total_duration: 537.500032ms   , real_time_elapsed: 40.374042ms    
Job 990            , total_duration: 1.044100032s   , real_time_elapsed: 82.599689ms    
Job 972            , total_duration: 38.201ms       , real_time_elapsed: 1.243214ms     
Job 971            , total_duration: 4.1848ms       , real_time_elapsed: 1.214959ms     
Job 988            , total_duration: 1.6216s        , real_time_elapsed: 148.38186ms    
Job 982            , total_duration: 1.271900032s   , real_time_elapsed: 123.289078ms   
Job 979            , total_duration: 869.44ms       , real_time_elapsed: 88.859389ms    
Job 977            , total_duration: 824.249984ms   , real_time_elapsed: 89.851171ms    
Job 969            , total_duration: 229.52ms       , real_time_elapsed: 16.328601ms    
Job 970            , total_duration: 661.050048ms   , real_time_elapsed: 66.486918ms    
Job 978            , total_duration: 1.207100032s   , real_time_elapsed: 126.473969ms   
Job 968            , total_duration: 440.72ms       , real_time_elapsed: 35.056667ms    
Job 966            , total_duration: 178.65ms       , real_time_elapsed: 9.472936ms     
Job 964            , total_duration: 174.26ms       , real_time_elapsed: 9.362112ms     
Job 975            , total_duration: 1.556s         , real_time_elapsed: 157.320925ms   
Job 991            , total_duration: 3.191899904s   , real_time_elapsed: 276.711603ms   
Job 963            , total_duration: 241.47ms       , real_time_elapsed: 15.91515ms     
Job 962            , total_duration: 419.550016ms   , real_time_elapsed: 28.410064ms    
Job 967            , total_duration: 1.277699968s   , real_time_elapsed: 101.256739ms   
Job 955            , total_duration: 79.639ms       , real_time_elapsed: 1.177007ms     
Job 960            , total_duration: 489.86ms       , real_time_elapsed: 42.977106ms    
Job 958            , total_duration: 368.92ms       , real_time_elapsed: 33.328331ms    
Job 954            , total_duration: 62.864ms       , real_time_elapsed: 1.189167ms     
Job 974            , total_duration: 2.459599872s   , real_time_elapsed: 241.214434ms   
Job 953            , total_duration: 48.612ms       , real_time_elapsed: 1.101308ms     
Job 957            , total_duration: 417.149984ms   , real_time_elapsed: 38.341796ms    
Job 976            , total_duration: 2.610199808s   , real_time_elapsed: 255.198994ms   
Job 951            , total_duration: 78.142ms       , real_time_elapsed: 1.209201ms     
Job 961            , total_duration: 793.290048ms   , real_time_elapsed: 70.300184ms    
Job 956            , total_duration: 468.450016ms   , real_time_elapsed: 36.462827ms    
Job 973            , total_duration: 2.754599936s   , real_time_elapsed: 258.130417ms   
Job 952            , total_duration: 878.709952ms   , real_time_elapsed: 55.337508ms    
Job 959            , total_duration: 1.325799936s   , real_time_elapsed: 104.755775ms   
Job 947            , total_duration: 414.590016ms   , real_time_elapsed: 25.672034ms    
Job 946            , total_duration: 163.94ms       , real_time_elapsed: 6.161208ms     
Job 948            , total_duration: 793.630016ms   , real_time_elapsed: 53.15259ms     
Job 945            , total_duration: 336.629984ms   , real_time_elapsed: 17.841936ms    
Job 942            , total_duration: 130.219992ms   , real_time_elapsed: 3.643058ms     
Job 937            , total_duration: 37.718ms       , real_time_elapsed: 1.612571ms     
Job 936            , total_duration: 79.818ms       , real_time_elapsed: 1.141593ms     
Job 949            , total_duration: 1.7376s        , real_time_elapsed: 135.947369ms   
Job 940            , total_duration: 682.650048ms   , real_time_elapsed: 74.446203ms    
Job 930            , total_duration: 43.11ms        , real_time_elapsed: 1.302606ms     
Job 929            , total_duration: 9.9268ms       , real_time_elapsed: 1.148311ms     
Job 941            , total_duration: 992.860032ms   , real_time_elapsed: 118.824581ms   
Job 935            , total_duration: 690.729984ms   , real_time_elapsed: 89.588478ms    
Job 927            , total_duration: 76.098ms       , real_time_elapsed: 1.185324ms     
Job 943            , total_duration: 1.306099968s   , real_time_elapsed: 142.79807ms    
Job 928            , total_duration: 348.86ms       , real_time_elapsed: 42.282223ms    
Job 924            , total_duration: 127.68ms       , real_time_elapsed: 6.795514ms     
Job 939            , total_duration: 1.046399936s   , real_time_elapsed: 140.264006ms   
Job 925            , total_duration: 275.88ms       , real_time_elapsed: 29.676244ms    
Job 923            , total_duration: 164.6ms        , real_time_elapsed: 10.390243ms    
Job 938            , total_duration: 1.209800064s   , real_time_elapsed: 167.032087ms   
Job 918            , total_duration: 12.865ms       , real_time_elapsed: 1.258482ms     
Job 914            , total_duration: 3.6808ms       , real_time_elapsed: 1.272548ms     
Job 931            , total_duration: 924.740032ms   , real_time_elapsed: 131.418083ms   
Job 917            , total_duration: 280.32ms       , real_time_elapsed: 33.272325ms    
Job 916            , total_duration: 277.64ms       , real_time_elapsed: 33.281455ms    
Job 912            , total_duration: 196.85ms       , real_time_elapsed: 19.240342ms    
Job 920            , total_duration: 535.610016ms   , real_time_elapsed: 75.722633ms    
Job 926            , total_duration: 958.329984ms   , real_time_elapsed: 140.675445ms   
Job 910            , total_duration: 189.84ms       , real_time_elapsed: 16.455188ms    
Job 932            , total_duration: 1.355399936s   , real_time_elapsed: 202.757641ms   
Job 915            , total_duration: 554.24ms       , real_time_elapsed: 76.523769ms    
Job 907            , total_duration: 17.116ms       , real_time_elapsed: 1.178416ms     
Job 919            , total_duration: 849.449984ms   , real_time_elapsed: 120.829296ms   
Job 911            , total_duration: 603.310016ms   , real_time_elapsed: 78.028099ms    
Job 905            , total_duration: 23.594ms       , real_time_elapsed: 1.253792ms     
Job 950            , total_duration: 3.551300096s   , real_time_elapsed: 406.606495ms   
Job 909            , total_duration: 415.470016ms   , real_time_elapsed: 44.351477ms    
Job 903            , total_duration: 98.863ms       , real_time_elapsed: 1.139034ms     
Job 904            , total_duration: 177.05ms       , real_time_elapsed: 10.992832ms    
Job 921            , total_duration: 1.1504s        , real_time_elapsed: 161.473895ms   
Job 908            , total_duration: 445.16ms       , real_time_elapsed: 45.900555ms    
Job 922            , total_duration: 1.285299968s   , real_time_elapsed: 175.703515ms   
Job 906            , total_duration: 833.299968ms   , real_time_elapsed: 69.517737ms    
Job 934            , total_duration: 2.57769984s    , real_time_elapsed: 331.239026ms   
Job 902            , total_duration: 3.3349ms       , real_time_elapsed: 1.272736ms     
Job 933            , total_duration: 2.5384s        , real_time_elapsed: 316.972907ms   
Job 901            , total_duration: 490.810016ms   , real_time_elapsed: 14.741942ms    
Job 899            , total_duration: 68.06ms        , real_time_elapsed: 1.16551ms      
Job 913            , total_duration: 2.75270016s    , real_time_elapsed: 187.784477ms   
Job 897            , total_duration: 448.66ms       , real_time_elapsed: 14.893759ms    
Job 898            , total_duration: 1.023200064s   , real_time_elapsed: 33.400452ms    
Job 894            , total_duration: 184.8ms        , real_time_elapsed: 6.486168ms     
Job 896            , total_duration: 636.84ms       , real_time_elapsed: 24.939347ms    
Job 892            , total_duration: 31.049ms       , real_time_elapsed: 1.132907ms     
Job 900            , total_duration: 2.107800064s   , real_time_elapsed: 63.371846ms    
Job 893            , total_duration: 205.05ms       , real_time_elapsed: 7.506274ms     
Job 890            , total_duration: 27.087ms       , real_time_elapsed: 1.160075ms     
Job 891            , total_duration: 1.282499968s   , real_time_elapsed: 35.646601ms    
Job 887            , total_duration: 264.299984ms   , real_time_elapsed: 10.176906ms    
Job 895            , total_duration: 2.605299968s   , real_time_elapsed: 86.44093ms     
Job 886            , total_duration: 25.932ms       , real_time_elapsed: 1.226535ms     
Job 888            , total_duration: 718.729984ms   , real_time_elapsed: 26.73485ms     
Job 883            , total_duration: 110.83ms       , real_time_elapsed: 2.827665ms     
Job 884            , total_duration: 247.08ms       , real_time_elapsed: 7.962729ms     
Job 889            , total_duration: 1.527299968s   , real_time_elapsed: 52.567198ms    
Job 882            , total_duration: 37.919ms       , real_time_elapsed: 1.191578ms     
Job 885            , total_duration: 2.054300032s   , real_time_elapsed: 37.678061ms    
Job 881            , total_duration: 421.169984ms   , real_time_elapsed: 6.19566ms      
Job 879            , total_duration: 138.87ms       , real_time_elapsed: 2.34503ms      
Job 875            , total_duration: 8.1331ms       , real_time_elapsed: 1.154421ms     
Job 876            , total_duration: 602.180032ms   , real_time_elapsed: 20.314547ms    
Job 877            , total_duration: 915.88ms       , real_time_elapsed: 28.853934ms    
Job 878            , total_duration: 1.119100032s   , real_time_elapsed: 32.652391ms    
Job 874            , total_duration: 110.01ms       , real_time_elapsed: 2.322201ms     
